"Missing_Gene"
"HLA-DQA2"
"CCL22"
"EBI3"
"HMSD"
"CCL17"
"BCL2L14"
"AOC1"
"NCCRP1"
"HLA-DQB2"
"CRLF2"
"AL031316.1"
"INSM1"
"TIFAB"
"TREML1"
"IDO2"
"TNNT2"
"LOR"
"BX255923.2"
"LINC01539"
"HLA-DPB1"
"HLA-DPA1"
"CD1E"
"C17orf99"
"CD1B"
"MARCKS"
"IL12B"
"HLA-DQB1"
"CCDC81"
"FOXD4L1"
"UPK3A"
"RAMP1"
"ARNTL2"
"IL22RA2"
"HLA-DOB"
"FBXO27"
"HLA-DRB5"
"UPB1"
"LINC01170"
"PPP1R14A"
"SPIB"
"PNRC1"
"MSLN"
"AP002761.2"
"AC008105.3"
"CDKN1A"
"U62317.5"
"SMCO4"
"UBD"
"DLEU7-AS1"
"SCN11A"
"CCDC68"
"AJ009632.2"
"EEF1A1"
"ENPP4"
"AL021707.6"
"GRIN1"
"U62317.2"
"CLDN16"
"CLC"
"PLAGL1"
"CLLU1OS"
"KCNN1"
"AC026401.3"
"HLA-DMA"
"SLC1A2"
"EXOC3L4"
"NPFFR1"
"CLEC9A"
"LINC01857"
"AC020656.1"
"SMCO2"
"EPOP"
"AC009812.4"
"AL138899.1"
"AL357060.1"
"EGOT"
"IFNGR1"
"PANX2"
"HLA-DOA"
"AC089983.1"
"LINC01410"
"PKIB"
"HDAC2-AS2"
"HMGN3"
"EYA4"
"GPR55"
"CD70"
"MMP2-AS1"
"NEURL3"
"AC026369.3"
"HLA-DMB"
"LINC01814"
"CCNA1"
"ICOSLG"
"MKL1"
"AL035701.1"
"LINC01358"
"AC016831.5"
"C6orf223"
"LINC02384"
"AF117829.1"
"SLC12A3"
"AC010226.1"
"DNASE1L3"
"ENHO"
"IL27"
"AC090377.1"
"AL162414.1"
"TNFRSF4"
"TNNI2"
"CD1A"
"SFT2D1"
"FAM135A"
"SLC25A25-AS1"
"LINC00158"
"SIGLEC15"
"KCNH3"
"PLA2G16"
"LINC01094"
"ICAM4"
"CLECL1"
"GNG8"
"CDC20B"
"ADORA2A-AS1"
"TNFAIP3"
"CCR6"
"STX11"
"LINC02362"
"AC092053.3"
"AL353708.1"
"CLEC4A"
"RUNX2"
"LONRF2"
"AC025164.1"
